0.5,0,0.183105,0.12207,0.12207,5464,5464,5464,3,2,0,3,0,0,0.25,0
0.5,5,0.183105,0.12207,0.12207,5464,5464,5464,3,2,0,3,0,0,0.25,0
0.5,10,0.488281,0.12207,0.12207,5464,5464,5464,7,2,0.000308392,8,0,0,0.25,0
0.5,15,0.183105,0.183105,0.12207,5464,5464,5464,3,3,8.14482E+AC0-07,3,0,0,0.25,0
0.5,20,0.305176,0.0610352,0.12207,5464,5464,5464,4,1,0,5,0,0,0.25,0
0.5,22,0.427246,0.12207,0.12207,5464,5464,5464,6,2,0,7,0,0,0.25,0
0.5,29,0.366211,0.0610352,0.12207,5464,5464,5464,5,1,0,6,0,0,0.25,0
0.5,31,0,0,0,0,0,999999,0,0,0.994668,0,+AC0-1,0,0.5,0
0.5,41,0,0,0,0,0,999999,0,0,0.858213,0,+AC0-1,0,0.5,0
0.5,46,0,0,0,0,0,999999,0,0,0.922154,0,+AC0-1,0,0.5,0
0.5,50,0.244141,0.12207,0.12207,5464,5465,5464,4,2,8.15648E+AC0-06,4,0,0,0.25,0
0.5,51,0.183105,0.12207,0.12207,5464,5465,5464,3,2,0,3,0,0,0.25,0
0.5,54,0,0,0,0,0,999999,0,0,0.936927,0,+AC0-1,0,0.5,0
0.5,57,0.244141,0,0.12207,5464,0,5464,4,0,4.60067E+AC0-07,4,0,0,0.25,0
0.5,59,0.0610352,0,0.12207,5465,0,5465,1,0,0.688918,1,0,0,0.25,0
0.5,64,0.0610352,0,0.12207,5464,0,5464,1,1,0.268398,1,0,0,0.25,0
0.5,66,0.488281,0.12207,0.12207,5464,5464,5464,6,2,0,8,0,0,0.25,0
0.5,68,0,0,0,0,0,999999,0,0,0.270671,0,+AC0-1,0,0.5,0
0.5,70,0,0,0,0,0,999999,0,0,0.277689,0,+AC0-1,0,0.5,0
0.5,72,0.244141,0.244141,0.12207,5464,5464,5464,2,2,0,4,0,0,0.25,0
0.5,74,0.183105,0.0610352,0.12207,5464,5465,5464,3,1,0,3,0,0,0.25,0
0.5,75,0.0610352,0.0610352,0.12207,5464,5464,5464,1,1,1,1,0,0,0.25,0
0.5,77,0.305176,0.244141,0.12207,5464,5464,5464,5,4,1.85578E+AC0-05,5,0,1,1,0
0.5,78,0,0,0,0,0,999999,0,0,0.302161,0,+AC0-1,0,0.5,0
0.5,80,0.183105,0.0610352,0.12207,5464,5464,5464,3,1,0,3,0,0,0.25,0
0.5,81,0.244141,0.244141,0.12207,5464,5464,5464,2,2,0,4,0,0,0.25,0
0.5,84,0.427246,0.12207,0.12207,5464,5464,5464,6,2,0,7,0,0,0.25,0
0.5,86,0.305176,0.244141,0.12207,5464,5464,5464,5,4,0.000004858,5,0,1,1,0
